Image Filename,Detected Objects
image_29.png,"cab, police_van, minivan, ambulance, tow_truck"
image_28.png,"cab, pool_table, parking_meter, car_mirror, trailer_truck"
image_14.png,"matchstick, nematode, lighter, digital_clock, spotlight"
image_13.png,"matchstick, nematode, lighter, digital_clock, spotlight"
image_12.png,"pillow, pencil_box, handkerchief, purse, bib"
image_10.png,"whistle, envelope, jersey, digital_clock, sweatshirt"
image_8.png,"stupa, candle, matchstick, bell_cote, maze"
image_1.png,"cinema, sombrero, throne, bottlecap, rugby_ball"
image_20.png,"church, palace, bell_cote, fountain, dome"
image_34.png,"spotlight, stage, traffic_light, fountain, beer_glass"
image_21.png,"mortarboard, academic_gown, suit, cleaver, bow_tie"
image_37.png,"ski, letter_opener, cleaver, comic_book, book_jacket"
image_23.png,"prison, bannister, shopping_cart, turnstile, bullet_train"
image_22.png,"restaurant, dining_table, rocking_chair, library, folding_chair"
image_36.png,"ski, letter_opener, cleaver, comic_book, book_jacket"
image_32.png,"police_van, cab, tow_truck, ambulance, racer"
image_26.png,"web_site, menu, binder, envelope, rule"
image_27.png,"traffic_light, cinema, limousine, fire_engine, spotlight"
image_33.png,"stage, cinema, digital_clock, oscilloscope, spotlight"
image_19.png,"alp, bathing_cap, snorkel, television, screen"
image_25.png,"menu, envelope, binder, web_site, slide_rule"
image_31.png,"cab, tow_truck, school_bus, traffic_light, moving_van"
image_30.png,"spider_web, garden_spider, barn_spider, black_and_gold_garden_spider, black_widow"
image_24.png,"prison, bannister, shopping_cart, turnstile, bullet_train"
